user_prompt,url_to_check,func_rating,custom_rating
"I have just been on an international flight, can I come back home to hold my 1-month-old newborn?",https://www.mayoclinic.org/healthy-lifestyle/infant-and-toddler-health/expert-answers/air-travel-with-infant/faq-20058539,3,4
Difference between AI/ML,https://www.anodot.com/blog/what-is-ai-ml/,2,3
Evaluate the effectiveness of COP28 resolutions on global carbon emissions.,https://be-cis.com/cop28-business-importance/,3,1
Analyze the recent fluctuations in the cryptocurrency market following regulatory changes in the U.S. and Europe.,https://www.jdsupra.com/legalnews/u-s-crypto-regulation-key-developments-8458441/,3,2
Investigate the global impact of the latest WHO advisory on new COVID-19 variants.,https://www.thelancet.com/journals/lancet/article/piis0140-6736(21)00370-6/fulltext,2,3
the significance of the latest lunar exploration missions by NASA and ISRO. Discuss how these missions impact global space policies and international collaborations in space exploration.,https://www.sciencedirect.com/topics/physics-and-astronomy/lunar-exploration,2,5
"With the recent surge in deepfake scams and AI-generated fraud, assess the role of cybersecurity frameworks in protecting user data.",https://kobalt.io/the-rise-of-ai-generated-deepfakes-a-growing-concern-for-cybersecurity-in-apac/,2,3
"Analyze the significance of the Baltic states synchronizing their power grids with continental Europe, disconnecting from Russia's grid.",https://www.reuters.com/business/energy/baltic-states-switch-european-power-grid-ending-russia-ties-2025-02-09/,3,3
Investigate the surge in private school enrollments in Australia over the past five years.,https://www.theepochtimes.com/world/independent-school-enrolments-growing-18-times-faster-than-public-schools-abs-5811633,3,3
Evaluate the approval of a weight loss drug for heart disease treatment by Australia's medicines regulator.,https://www.racgp.org.au/afp/2017/july/pharmacotherapy-for-obesity,3,4
